Vehicle name,year,month,Price
Chevy Cruze,2010,11,17591
Chevy Cruze,2010,12,17605
Chevy Cruze,2010,9,17693
HoNDA CiviC,2009,6,17807
HoNDA CiviC,2009,7,17828
Chevy Cruze,2009,9,17872
Honda Civic,2008,7,17919
Honda Civic,2010,12,16221
HoNDA CiviC,2009,9,16426
HoNDA CiviC,2009,12,16662
HoNDA CiviC,2010,10,16812
HoNDA CiviC,2010,11,16861
Honda Civic,2008,12,16865
Chevy Cruze,2008,1,203
HoNDA CiviC,2010,6,16886
HoNDA CiviC,2010,8,16979
HoNDA CiviC,2009,11,16995
HoNDA CiviC,2010,9,17141
Honda Civic,2008,10,17178
HoNDA CiviC,2010,5,17266
HoNDA CiviC,2010,7,17301
HoNDA CiviC,2009,5,17526
Chevy Cruze,2010,8,17924
Chevy Cruze,2009,11,17941
Honda Civic,2008,11,18022
Chevy Cruze,2010,10,18035
Chevy Cruze,2009,12,18097
HoNDA CiviC,2010,2,18250
Chevy Cruze,2010,6,18277
Chevy Cruze,2010,7,18313
HoNDA CiviC,2009,8,18321
Chevy Cruze,2010,5,18349
Chevy Cruze,2008,12,18349
Honda Civic,2008,9,18358
Ford Focus Sedan,2010,9,18361
HoNDA CiviC,2010,4,18393
HoNDA CiviC,2009,3,18472
Chevy Cruze,2009,10,18472
Chevy Cruze,2008,10,18509
Honda Civic,2008,4,18524
Chevy Cruze,2008,11,18824
Honda Civic,2008,2,18888
Ford Focus Sedan,2010,12,18928
Chevy Cruze,2009,6,18934
Honda Civic,2008,5,18962
Chevy Cruze,2010,4,18999
Ford Focus Sedan,2008,11,19027
Ford Focus Sedan,2008,9,19059
HoNDA CiviC,2009,1,18534
Ford Focus Sedan,2009,9,18539
Ford Focus Sedan,2009,11,18658
Ford Focus Sedan,2010,8,18673
Ford Focus Sedan,2010,7,18687
Honda Civic,2008,6,18690
Chevy Cruze,2009,8,18741
Ford Focus Sedan,2010,11,18772
HoNDA CiviC,2009,4,18806
Ford Focus Sedan,2008,12,18813
HoNDA CiviC,2010,3,18818
Chevy Cruze,2009,5,19077
Chevy Cruze,2009,7,19109
Honda Civic,2008,3,19111
Honda Civic,2008,8,19171
Honda Civic,2008,1,19186
HoNDA CiviC,2010,1,19209
HoNDA CiviC,2009,2,19265
Chevy Cruze,2008,9,19269
Chevy Cruze,2008,7,19331
Ford Focus Sedan,2010,10,19339
Ford Focus Sedan,2010,5,19374
Focus Hatchback,2010,12,19425
Ford Focus Sedan,2009,12,19430
Ford Focus Sedan,2010,6,19434
Chevy Cruze,2009,4,19436
Chevy Cruze,2009,1,19550
Focus Hatchback,2010,10,19566
Ford Focus Sedan,2009,8,19608
Ford Focus Hatchback,2010,8,19656
Ford Focus Hatchback,2010,9,19683
Chevy Cruze,2008,6,19686
Chevy Cruze,2010,1,19727
Ford Focus Sedan,2009,10,19735
Chevy Cruze,2008,2,19775
Ford Focus Sedan,2008,10,19776
Chevy Cruze,2008,5,19783
Chevy Cruze,2010,2,19788
Chevy Cruze,2009,2,19853
Chevy Cruze,2009,3,19859
Chevy Cruze,2008,8,19879
Focus Hatchback,2010,11,19909
Ford Focus Hatchback,2009,9,19929
Ford Focus Hatchback,2010,7,19932
Ford Focus Sedan,2010,4,19954
Chevy Cruze,2008,4,20041
Ford Focus Hatchback,2009,12,20044
Chevy Cruze,2010,3,20053
Ford Focus Hatchback,2009,11,20106
Ford Focus Sedan,2009,6,20148
Ford Focus Sedan,2009,4,20172
Ford Focus Sedan,2009,5,20240
Ford Focus Hatchback,2010,6,20248
Chevy Cruze,2008,3,20263
Ford Focus Sedan,2009,7,20374
Ford Focus Sedan,2009,1,20382
Ford Focus Sedan,2008,5,20448
Ford Focus Sedan,2009,3,20502
Ford Focus Sedan,2008,1,20507
Focus Hatchback,2008,11,20540
Ford Focus Hatchback,2009,8,20549
Ford Focus Sedan,2010,2,20559
Ford Focus Hatchback,2010,5,20703
Focus Hatchback,2008,8,21525
Focus Hatchback,2008,1,21600
Ford Focus Hatchback,2009,1,21754
Focus Hatchback,2008,4,21872
Ford Focus Hatchback,2009,2,22021
Ford Focus Hatchback,2010,3,22114
Focus Hatchback,2008,3,22124
Ford Focus Hatchback,2010,1,22330
Focus Hatchback,2008,2,22367
Focus Hatchback,2008,7,
Focus Hatchback,2008,12,20750
Ford Focus Sedan,2010,3,20782
Focus Hatchback,2008,9,20809
Ford Focus Sedan,2008,4,20832
Ford Focus Sedan,2008,8,20858
Ford Focus Sedan,2008,6,20867
Ford Focus Hatchback,2009,6,20870
Ford Focus Hatchback,2009,10,20976
Ford Focus Hatchback,2010,4,21045
Focus Hatchback,2008,10,21097
Ford Focus Hatchback,2009,4,21147
Ford Focus Hatchback,2009,5,21163
Ford Focus Sedan,2009,2,21164
Ford Focus Sedan,2008,3,21261
Ford Focus Hatchback,2009,3,21267
Ford Focus Sedan,2008,7,21275
Ford Focus Sedan,2010,1,21339
Focus Hatchback,2008,6,21359
Ford Focus Hatchback,2009,7,21398
Ford Focus Sedan,2008,2,21403
Focus Hatchback,2008,5,21467
Ford Focus Hatchback,2010,2,21516
